Incident energy , σ(E)
1000000.0 , 2.577422
1050000.0 , 2.512522
1100000.0 , 2.450321
1150000.0 , 2.390521
1200000.0 , 2.333121
1250000.0 , 2.277921
1300000.0 , 2.224921
1350000.0 , 2.17392
1400000.0 , 2.12502
1450000.0 , 2.07802
1500000.0 , 2.032819
1550000.0 , 1.988818
1600000.0 , 1.946519
1650000.0 , 1.905918
1680000.0 , 1.881917
1700000.0 , 1.865518
1710000.0 , 1.85742
1720000.0 , 1.850734
1730000.0 , 1.854748
1736000.0 , 1.862456
1740000.0 , 1.854417
1750000.0 , 1.832742
1760000.0 , 1.824421
1770000.0 , 1.818017
1780000.0 , 1.811516
1790000.0 , 1.804817
1800000.0 , 1.798017
1820000.0 , 1.784417
1850000.0 , 1.764417
1900000.0 , 1.731918
1950000.0 , 1.700617
2000000.0 , 1.670421
2025000.0 , 1.659116
2050000.0 , 1.684916
2052000.0 , 1.695116
2053000.0 , 1.702016
2054000.0 , 1.708916
2056000.0 , 1.727816
2058000.0 , 1.754216
2060000.0 , 1.791816
2061000.0 , 1.816516
2062000.0 , 1.846716
2063000.0 , 1.883616
2064000.0 , 1.929416
2065000.0 , 1.986816
2066000.0 , 2.059516
2067000.0 , 2.152516
2068000.0 , 2.273616
2069000.0 , 2.432816
2070000.0 , 2.644916
2071000.0 , 2.929716
2072000.0 , 3.312216
2073000.0 , 3.817616
2074000.0 , 4.451116
2075000.0 , 5.156516
2076000.0 , 5.766416
2077000.0 , 6.043516
2078000.0 , 5.871916
2079000.0 , 5.372816
2080000.0 , 4.765416
2081000.0 , 4.198916
2082000.0 , 3.728216
2083000.0 , 3.355916
2084000.0 , 3.065816
2085000.0 , 2.839916
2086000.0 , 2.662616
2087000.0 , 2.521816
2088000.0 , 2.408516
2089000.0 , 2.316616
2090000.0 , 2.240716
2091000.0 , 2.177616
2092000.0 , 2.124516
2093000.0 , 2.079416
2094000.0 , 2.040716
2095000.0 , 2.007316
2096000.0 , 1.978316
2097000.0 , 1.952816
2098000.0 , 1.930316
2099000.0 , 1.910416
2100000.0 , 1.892616
2102000.0 , 1.862416
2104000.0 , 1.837616
2106000.0 , 1.817016
2108000.0 , 1.799616
2110000.0 , 1.784816
2112000.0 , 1.772116
2114000.0 , 1.760916
2116000.0 , 1.751116
2118000.0 , 1.742416
2120000.0 , 1.734716
2140000.0 , 1.686315
2160000.0 , 1.661115
2180000.0 , 1.644515
2200000.0 , 1.632015
2220000.0 , 1.621915
2240000.0 , 1.613614
2260000.0 , 1.606514
2280000.0 , 1.600414
2300000.0 , 1.595314
2320000.0 , 1.591114
2340000.0 , 1.587813
2360000.0 , 1.585313
2380000.0 , 1.583713
2400000.0 , 1.582913
2420000.0 , 1.583113
2440000.0 , 1.584312
2460000.0 , 1.586612
2480000.0 , 1.589912
2500000.0 , 1.594512
2520000.0 , 1.600412
2540000.0 , 1.607711
2553000.0 , 1.613411
2560000.0 , 1.616511
2580000.0 , 1.627011
2600000.0 , 1.639511
2620000.0 , 1.654011
2640000.0 , 1.670911
2660000.0 , 1.690511
2680000.0 , 1.71321
2700000.0 , 1.73961
2720000.0 , 1.77021
2740000.0 , 1.80591
2760000.0 , 1.84781
2780000.0 , 1.89791
2785000.0 , 1.91201
2790000.0 , 1.92701
2795000.0 , 1.943109
2800000.0 , 1.961109
2802000.0 , 1.969309
2804000.0 , 1.978609
2806000.0 , 1.990309
2808000.0 , 2.007009
2810000.0 , 2.038909
2811000.0 , 2.071809
2812000.0 , 2.140009
2813000.0 , 2.328009
2814000.0 , 3.160509
2815000.0 , 5.070909
2816000.0 , 2.776209
2817000.0 , 2.289509
2818000.0 , 2.158909
2819000.0 , 2.109009
2820000.0 , 2.086309
2822000.0 , 2.069709
2824000.0 , 2.067309
2826000.0 , 2.070209
2828000.0 , 2.075609
2830000.0 , 2.082509
2835000.0 , 2.102909
2840000.0 , 2.126509
2845000.0 , 2.152209
2850000.0 , 2.180109
2855000.0 , 2.210209
2860000.0 , 2.242509
2865000.0 , 2.277409
2870000.0 , 2.314909
2875000.0 , 2.355509
2880000.0 , 2.399409
2885000.0 , 2.447009
2890000.0 , 2.498709
2895000.0 , 2.554809
2900000.0 , 2.615709
2905000.0 , 2.681809
2910000.0 , 2.753209
2915000.0 , 2.829609
2920000.0 , 2.910309
2924000.0 , 2.976809
2928000.0 , 3.043208
2932000.0 , 3.106708
2936000.0 , 3.163308
2940000.0 , 3.207008
2944000.0 , 3.229708
2948000.0 , 3.221208
2952000.0 , 3.170708
2956000.0 , 3.068608
2960000.0 , 2.910608
2964000.0 , 2.701308
2968000.0 , 2.455708
2972000.0 , 2.196008
2976000.0 , 1.945808
2980000.0 , 1.723508
2984000.0 , 1.539508
2988000.0 , 1.396208
2992000.0 , 1.290808
2996000.0 , 1.217608
3000000.0 , 1.170408
3010000.0 , 1.129508
3020000.0 , 1.150308
3030000.0 , 1.197608
